X Y Z Intensity LaserID T Reflectivity Noise Range 
-27.448584 -1.611517 6.457701 86 7 0 6741 633 28244
-26.711264 -1.538291 5.240981 90 11 0 6647 1103 27264
-26.482304 -0.532992 4.438694 28 14 0 1914 515 26857
-24.882380 -1.416409 3.938890 141 15 0 8908 1161 25232
-26.673943 -0.529398 3.470705 198 18 0 14265 912 26904
-26.040417 -1.462268 3.141884 172 19 0 11781 724 26270
-28.150743 -0.544454 2.623850 85 22 0 6687 1195 28278
-25.959000 -1.444971 2.174987 118 23 0 7954 824 26090
-46.644951 0.818262 3.084728 41 25 0 8730 1044 46754
-36.468628 -0.687499 2.055879 129 26 0 17070 1164 36533
-26.566057 -1.464809 1.255192 178 27 0 12559 689 26636
-46.170643 0.830900 1.355208 61 29 0 12804 1268 46198
-36.983330 -0.679768 0.741236 167 30 0 22755 779 36997
-36.431606 -1.992197 0.378910 70 31 0 9124 745 36488
-56.788181 1.035857 -0.395537 50 33 0 15762 823 56799
-47.005920 -0.849215 -0.776303 61 34 0 13310 668 47020
-27.811682 -1.507200 -0.727884 332 35 0 25379 470 27862
-118.292786 -2.073069 -6.289453 316 38 0 49377 426 118478
-27.521725 -1.484261 -1.730656 55 39 0 4099 490 27616
-42.545776 0.808007 -3.411809 66 41 0 11806 1177 42690
-25.493031 1.431084 -2.742231 73 44 0 4772 764 25680
-1.371396 0.026955 -0.160332 710 45 0 126 1096 1381
-1.380761 -0.023258 -0.174994 609 46 0 107 950 1392
-1.395992 -0.074749 -0.191153 683 47 0 129 905 1411
-1.325037 0.075032 -0.192169 764 48 0 130 1026 1341
-1.339879 0.026756 -0.206747 668 49 0 113 890 1356
-1.313229 -0.022074 -0.215645 455 50 0 70 817 1331
-1.372064 0.078512 -0.250770 471 52 0 84 813 1397
-1.313997 0.076202 -0.291049 210 56 0 31 751 1348
-1.165014 0.024282 -0.269387 103 57 0 9 334 1196
-1.291432 0.076137 -0.337604 72 60 0 9 898 1337
-27.653006 -1.283223 6.501599 35 7 195674 2732 370 28436
-26.422260 -1.196535 5.181005 155 11 195674 11209 886 26952
-26.366184 -1.176474 4.171177 148 15 195674 10477 951 26720
-26.654633 -0.201847 3.467608 16 18 195674 1074 362 26880
-25.984985 -1.139470 3.133273 176 19 195674 11983 854 26198
-25.526758 -0.180385 2.378890 189 22 195674 12342 948 25638
-25.640261 -1.111800 2.146977 150 23 195674 9879 928 25754
-37.217125 -0.244807 2.097747 74 26 195674 10075 1209 37277
-26.258690 -1.124841 1.239924 213 27 195674 14696 890 26312
-45.965141 1.391615 1.349576 28 29 195674 5732 1258 46006
-45.591000 -0.278404 0.913618 74 30 195674 15192 800 45601
-37.184612 -1.575970 0.386512 75 31 195674 10227 827 37220
-57.454857 1.753523 -0.400301 26 33 195674 8413 1099 57483
-47.948662 -0.277737 -0.791757 37 34 195674 8308 792 47956
-27.840069 -1.166297 -0.728197 250 35 195674 19320 731 27874
-57.256363 -0.300671 -3.043811 25 38 195674 7802 607 57338
-6.203026 -0.030625 -0.556340 55 42 195674 211 293 6228
-25.461647 1.743000 -2.740950 75 44 195674 4902 761 25668
-1.347137 0.043021 -0.157546 690 45 195674 119 1002 1357
-1.357133 -0.006203 -0.171977 577 46 195674 99 949 1368
-1.373046 -0.056632 -0.187902 597 47 195674 108 913 1387
-1.324016 0.091287 -0.192169 781 48 195674 135 984 1341
-1.351303 0.043579 -0.208577 668 49 195674 116 909 1368
-1.301560 -0.005903 -0.213701 462 50 195674 71 821 1319
-1.335667 0.092887 -0.244308 404 52 195674 67 901 1361
-1.335786 0.043545 -0.257102 363 53 195674 60 763 1361
-1.113430 -0.004506 -0.225277 82 54 195674 4 387 1136
-1.324651 0.093143 -0.293639 231 56 195674 38 809 1360
-1.234739 0.040898 -0.285605 172 57 195674 23 516 1268
-1.325145 0.094456 -0.346694 110 60 195674 18 823 1373
-1.324366 0.044654 -0.359431 71 61 195674 10 401 1373
-26.426023 -0.854364 4.178670 177 15 392831 12591 839 26768
-26.592407 -0.839301 3.205033 183 19 392831 13052 951 26798
-25.455362 0.132508 2.372210 128 22 392831 8295 586 25566
-25.496592 -0.792243 2.133972 126 23 392831 8202 1016 25598
-45.807552 0.260837 2.581934 65 26 392831 13419 1066 45881
-26.342402 -0.804718 1.243317 82 27 392831 5617 958 26384
-45.363033 0.279684 0.909050 79 30 392831 15973 969 45373
-37.117195 -1.117012 0.385640 112 31 392831 15311 804 37136
-65.658813 -1.943833 -1.716648 23 35 392831 9326 507 65710
-6.298549 0.046199 -0.564916 30 42 392831 114 276 6324
-25.402662 2.052440 -2.737105 69 44 392831 4467 693 25632
-1.370322 0.060602 -0.160332 692 45 392831 122 1031 1381
-1.357107 0.010452 -0.171977 616 46 392831 105 972 1368
-1.409291 -0.040811 -0.192779 595 47 392831 113 803 1423
-1.322796 0.107528 -0.192169 795 48 392831 135 960 1341
-1.362515 0.060686 -0.210406 656 49 392831 113 922 1380
-1.348899 0.010436 -0.221478 546 50 392831 90 792 1367
-1.346192 0.110234 -0.246462 459 52 392831 77 773 1373
-1.346923 0.060463 -0.259369 418 53 392831 68 885 1373
-1.265023 0.104565 -0.280685 174 56 392831 22 819 1300
