X Y Z Reflectivity LaserID Timestamp 
-1.13 0.00 -0.30 2 0 1298817974
-1.40 0.00 -0.32 2 2 1298817979
-1.06 0.00 -0.21 100 4 1298817983
-11.63 0.03 -1.84 5 6 1298817988
-90.19 0.22 11.07 63 7 1298817990
-1.59 0.00 -0.19 100 8 1298817992
-23.26 0.06 -2.03 3 10 1298817997
-1.13 0.01 -0.30 2 0 1298818029
-1.39 0.01 -0.32 1 2 1298818034
-1.05 0.01 -0.20 100 4 1298818039
-11.63 0.07 -1.84 6 6 1298818043
-1.60 0.01 -0.20 100 8 1298818048
-23.27 0.14 -2.04 3 10 1298818052
-1.11 0.01 -0.30 2 0 1298818085
-1.40 0.01 -0.32 1 2 1298818089
-1.05 0.01 -0.20 100 4 1298818094
-11.63 0.11 -1.84 6 6 1298818098
-1.60 0.02 -0.20 100 8 1298818103
-23.26 0.22 -2.03 3 10 1298818108
-1.13 0.01 -0.30 2 0 1298818140
-1.40 0.02 -0.32 1 2 1298818145
-1.06 0.01 -0.21 100 4 1298818149
-11.62 0.15 -1.84 6 6 1298818154
-1.60 0.02 -0.20 100 8 1298818158
-23.23 0.31 -2.03 3 10 1298818163
-1.14 0.02 -0.30 4 0 1298818195
-1.39 0.02 -0.32 2 2 1298818200
-1.07 0.02 -0.21 100 4 1298818204
-11.62 0.19 -1.84 5 6 1298818209
-1.60 0.03 -0.20 100 8 1298818214
-23.25 0.39 -2.03 3 10 1298818218
-1.14 0.02 -0.31 4 0 1298818251
-1.40 0.03 -0.32 1 2 1298818255
-1.07 0.02 -0.21 100 4 1298818260
-11.63 0.23 -1.84 5 6 1298818264
-1.59 0.03 -0.20 100 8 1298818269
-23.32 0.47 -2.04 6 10 1298818274
-1.14 0.03 -0.31 2 0 1298818306
-1.40 0.03 -0.32 2 2 1298818310
-1.06 0.03 -0.21 100 4 1298818315
-11.64 0.27 -1.84 5 6 1298818320
-1.60 0.04 -0.20 100 8 1298818324
-23.29 0.55 -2.04 12 10 1298818329
-1.12 0.03 -0.30 2 0 1298818361
-1.40 0.04 -0.32 2 2 1298818366
-1.07 0.03 -0.21 100 4 1298818370
-11.64 0.32 -1.84 5 6 1298818375
-1.59 0.04 -0.20 100 8 1298818380
-23.24 0.63 -2.03 15 10 1298818384
-1.13 0.03 -0.30 2 0 1298818416
-1.41 0.04 -0.32 2 2 1298818421
-1.07 0.03 -0.21 100 4 1298818426
-11.62 0.35 -1.84 4 6 1298818430
-90.55 2.75 11.12 63 7 1298818433
-1.60 0.05 -0.20 100 8 1298818435
-23.21 0.71 -2.03 9 10 1298818439
-1.13 0.04 -0.30 2 0 1298818472
-1.39 0.05 -0.32 2 2 1298818476
-1.07 0.04 -0.21 100 4 1298818481
-11.60 0.39 -1.84 4 6 1298818486
